id,claim,model,repetition,label,explanation,valid_json
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,0,sarcastic,"A humorous, slightly exaggerated description of a malfunction, suggesting an obvious mistake.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,1,sarcastic,"The description is overly detailed and humorous, suggesting a deliberate attempt to clarify a confusing action.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,2,sarcastic,"The description of the action is unnecessarily detailed and suggests a clumsy attempt at shooting, implying sarcasm.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,3,sarcastic,A somewhat absurd and overly detailed description of how someone might trigger a firearm.,True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,4,sarcastic,"The user is describing a clumsy action in a humorous way, implying it was not done skillfully.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,5,sarcastic,"A humorous description of a clumsy action, implying a lack of skill.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,6,sarcastic,"A humorous description of a clumsy action, implying a lack of skill, not a literal statement.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,7,sarcastic,"A humorous, overly detailed account of a simple action, implying disbelief or exaggeration.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,8,sarcastic,"A humorous description of an awkward action, implying a mistake rather than a deliberate tactic.",True
1,At first I thought he jammed it by inserting his finger into the trigger guard behind the finger.,gemma-3-4b,9,sarcastic,"The description is a humorous exaggeration of how he likely operated the firearm, not a literal account.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,0,sarcastic,"A blunt and negative statement about the Browns' quarterback situation, likely delivered with irony.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,1,sarcastic,"A harsh and exaggerated statement about the Browns' quarterback situation, implying a lack of competence.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,2,sarcastic,"A harsh, critical statement about the Browns' quarterback situation, indicating a mocking tone.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,3,sarcastic,A harsh and exaggerated statement criticizing the Browns' quarterback situation.,True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,4,sarcastic,A harsh and exaggerated criticism of the Browns' quarterback situation in a mocking way.,True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,5,sarcastic,"A harsh and exaggerated statement about the team's quarterback situation, likely delivered with irony.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,6,sarcastic,"A harsh, unfair assessment of the Browns' quarterback situation, delivered with mockery.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,7,sarcastic,"A harsh criticism of the Browns' quarterback situation, delivered with irony.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,8,sarcastic,"A harsh assessment of the Browns' quarterback situation, implying lack of competence.",True
2,The Browns don't know shit when it comes to QB's.,gemma-3-4b,9,sarcastic,"A harsh statement about the Browns' quarterback situation, intended to be humorous.",True
3,Mario didn't play as many games,gemma-3-4b,0,literal,Mario has appeared in multiple games across different franchises.,True
3,Mario didn't play as many games,gemma-3-4b,1,literal,Mario has appeared in many games over time.,True
3,Mario didn't play as many games,gemma-3-4b,2,literal,Mario has appeared in numerous games across various franchises.,True
3,Mario didn't play as many games,gemma-3-4b,3,literal,Mario has appeared in numerous games across multiple franchises.,True
3,Mario didn't play as many games,gemma-3-4b,4,literal,Mario has appeared in many games over the years.,True
3,Mario didn't play as many games,gemma-3-4b,5,literal,Mario has appeared in many Mario games over the years.,True
3,Mario didn't play as many games,gemma-3-4b,6,literal,Mario has appeared in many games across different franchises.,True
3,Mario didn't play as many games,gemma-3-4b,7,literal,Mario has appeared in many games over time.,True
3,Mario didn't play as many games,gemma-3-4b,8,literal,"Mario has appeared in many games, though not always as the main character.",True
3,Mario didn't play as many games,gemma-3-4b,9,literal,Mario has appeared in numerous games across various franchises.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,0,literal,This is a statement of fact about a historical event.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,1,literal,This is a factual statement about the history of Xbox Live.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,2,literal,A factual statement about the history of Xbox Live.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,3,literal,This is a factual statement about the history of Xbox Live. It is not intended to be sarcastic.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,4,literal,The statement is a factual observation about the history of Xbox Live.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,5,literal,Xbox Live has a documented history. This statement is factually accurate and expresses an observation.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,6,literal,A simple factual statement about the history of Xbox Live.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,7,literal,"This is a factual statement about the history of Xbox Live, not sarcasm.",True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,8,literal,This is a factual statement about the history of Xbox Live.,True
6,"Amazing, there was actually a time when Xbox Live didn't exist.",gemma-3-4b,9,literal,This is a factual statement about the history of Xbox Live.,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,0,sarcastic,A cynical observation about political maneuvering suggests distrust and suspicion.,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,1,sarcastic,"A cynical observation about a potential upcoming election, suggesting skepticism and distrust.",True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,2,sarcastic,"Expressing doubt about an upcoming election, implying a manipulative strategy.",True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,3,sarcastic,Expresses skepticism about a political strategy suggesting an upcoming election.,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,4,sarcastic,"Expresses doubt about an upcoming election, implying a negative or misleading intent.",True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,5,sarcastic,"Expresses doubt about a planned event, suggesting a cynical view of intentions.",True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,6,sarcastic,Expressing doubt about a planned event; implying an ulterior motive.,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,7,sarcastic,A cynical observation suggesting a manipulative strategy and anticipating an election.,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,8,sarcastic,Obvious exaggeration expressing doubt about an upcoming election,True
9,"Synical ploy for SF, there must be an election coming up!",gemma-3-4b,9,sarcastic,"Expressing doubt about a future event, implying it's unlikely to happen.",True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,0,sarcastic,"A dismissive statement implying someone is underprepared, delivered with irony.",True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,1,sarcastic,A somewhat dismissive and judgmental statement about account level.,True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,2,sarcastic,A dismissive statement implying lack of experience,True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,3,sarcastic,"A dismissive statement implying someone isn't prepared, delivered with irony.",True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,4,sarcastic,A dismissive statement highlighting the requirement for readiness.,True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,5,sarcastic,Implies a dismissive and slightly mocking statement about character level.,True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,6,sarcastic,"A dismissive statement implying someone is not prepared, delivered with a mocking tone.",True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,7,sarcastic,A dismissive statement implying someone is underprepared.,True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,8,sarcastic,"A somewhat blunt, dismissive statement implying that players are not adequately prepared.",True
11,if you're not even lvl 30 on your main account no you are not ready,gemma-3-4b,9,sarcastic,A somewhat harsh statement implying that level 30 is necessary before someone is truly ready.,True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,0,sarcastic,"The statement uses inflammatory language and expresses a mocking opinion, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,1,sarcastic,"The statement expresses amusement and dismisses differing opinions with a strongly negative tone, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,2,sarcastic,"The claim expresses amusement and dismisses opposing views with a disrespectful tone, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,3,sarcastic,"The comment uses aggressive language and dismisses differing opinions, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,4,sarcastic,"The comment uses inflammatory language and dismisses differing opinions, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,5,sarcastic,"The user expresses a dismissive and mocking opinion, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,6,sarcastic,"The claim uses exaggerated language and dismisses opposing views, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,7,sarcastic,"The claim uses excessive language and implies disagreement is incorrect, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,8,sarcastic,"The statement uses inflammatory language and expresses a dismissive attitude, indicating sarcasm.",True
12,because galaxy collapse is a fkin hilarious meme and if you disagree you're obvs wrong,gemma-3-4b,9,sarcastic,"The statement uses aggressive language and dismisses opposing views, indicating sarcasm.",True
