model_receiver,model_sender,label_receiver_before,label_sender_before,id,match_type,p_round_2,model,p_pos,p_neg,delta,max_delta,max_delta_neg,delta_positive_only,delta_negative_only
gemma-3-27b,gemma-3-27b,negative,negative,23,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,79,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,156,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,176,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,191,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,239,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,380,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,452,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,598,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,660,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,709,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,740,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,745,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,789,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,962,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1056,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1385,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1572,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1573,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1802,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,1932,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2064,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2147,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2230,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2235,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2272,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2280,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2287,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2319,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2378,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2387,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2469,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2510,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2513,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2561,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2677,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2823,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2875,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2906,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,2981,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3045,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3063,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3261,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3438,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3582,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3660,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3687,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3857,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3918,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3925,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,3931,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,4005,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,4172,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
gemma-3-27b,gemma-3-27b,negative,negative,4311,0:0,1.0,gemma-3-27b,0.0,1.0,0.0,0.0,1.0,0.0,0.0
